prior for non faulty data,accuracy,false positive
0.463,0.3719047619047619,0.0
0.464,0.3719047619047619,0.0
0.465,0.3719047619047619,0.0
0.466,0.3719047619047619,0.0
0.467,0.3719047619047619,0.0
0.468,0.3719047619047619,0.0
0.46900000000000003,0.3719047619047619,0.0
0.47000000000000003,0.3719047619047619,0.0
0.47100000000000003,0.3719047619047619,0.0
0.47200000000000003,0.3719047619047619,0.0
0.47300000000000003,0.3719047619047619,0.0
0.47400000000000003,0.3719047619047619,0.0
0.47500000000000003,0.37186507936507934,0.0
0.47600000000000003,0.37186507936507934,0.0
0.47700000000000004,0.37186507936507934,0.0
0.47800000000000004,0.37186507936507934,0.0
0.47900000000000004,0.37186507936507934,0.0
0.48,0.37186507936507934,0.0
0.481,0.37186507936507934,0.0
0.482,0.37186507936507934,0.0
0.483,0.37186507936507934,0.0
0.484,0.37186507936507934,0.0
0.485,0.37186507936507934,0.0
0.486,0.37186507936507934,0.0
0.487,0.37186507936507934,0.0
0.488,0.37186507936507934,0.0
0.489,0.37182539682539684,0.0
0.49,0.37182539682539684,0.0
0.491,0.37182539682539684,0.0
0.492,0.37182539682539684,0.0
0.493,0.37182539682539684,0.0
0.494,0.37182539682539684,0.0
0.495,0.37182539682539684,0.0
0.496,0.37182539682539684,0.0
0.497,0.37182539682539684,0.0
0.498,0.3717857142857143,0.0
0.499,0.3717857142857143,0.0
0.5,0.3717857142857143,0.0
0.501,0.3717857142857143,0.0
0.502,0.3717857142857143,0.0
0.503,0.3717857142857143,0.0
0.504,0.3717857142857143,0.0
0.505,0.3717857142857143,0.0
0.506,0.3717857142857143,0.0
0.507,0.3717857142857143,0.0
0.508,0.3717857142857143,0.0
0.509,0.3717857142857143,0.0
0.51,0.3717857142857143,0.0
0.511,0.3717857142857143,0.0
0.512,0.3717857142857143,0.0
0.513,0.3717857142857143,0.0
0.514,0.3717857142857143,0.0
0.515,0.3717857142857143,0.0
0.516,0.3717857142857143,0.0
0.517,0.3717857142857143,0.0
0.518,0.3717857142857143,0.0
